Index,Headline,Link,Selector,Timestamp
1,"OG review and release live updates: Pawan Kalyan film runs to packed houses, fans tear up a screen in Bengaluru",N/A,h1,2025-09-25 16:35:25
2,OG release live: Rowdy fans tear up a screen in Bengaluru,N/A,h2,2025-09-25 16:35:25
3,OG review and release live updates: Producer thanks Naga Vamsi for allowing them to use the title,N/A,h2,2025-09-25 16:35:25
4,OG review and release live updates: Emraan Hashmi fans have mixed response to film,N/A,h2,2025-09-25 16:35:25
5,OG review and release live updates: Fans celebrate with confetti inside theatre,N/A,h2,2025-09-25 16:35:25
6,OG review and release live updates: Chiranjeevi is delighted to see brother Pawan Kalyan being celebrated,N/A,h2,2025-09-25 16:35:25
7,OG review and release live updates: Fans chuckle at ‘Prabhas cameo’,N/A,h2,2025-09-25 16:35:25
8,OG review and release live updates: Morning shows see remarkable 71% occupancy,N/A,h2,2025-09-25 16:35:25
9,OG review and release live updates: Jackie Shroff cameo hints at Saaho link,N/A,h2,2025-09-25 16:35:25
10,OG review and release live updates: Pawan Kalyan fans celebrate with firecrackers,N/A,h2,2025-09-25 16:35:25
11,OG review and release live updates: Did Sujeeth confirm a cinematic universe?,N/A,h2,2025-09-25 16:35:25
12,OG review and release live updates: Ram Charan says film is a festival for Pawan Kalyan fans,N/A,h2,2025-09-25 16:35:25
13,OG review and release live updates: Film sets record for Telugu films in Karnataka,N/A,h2,2025-09-25 16:35:25
14,OG review and release live updates: Arjun Das gets emotional as film gets love,N/A,h2,2025-09-25 16:35:25
15,OG review and release live updates: Thaman says he ‘prayed hard’ for Pawan Kalyan,N/A,h2,2025-09-25 16:35:25
16,OG review and release live updates: DOP reveals how Pawan Kalyan's entry scene was shot,N/A,h2,2025-09-25 16:35:25
17,OG review and release live updates: Varun Tej left speechless by Pawan Kalyan film,N/A,h2,2025-09-25 16:35:25
18,OG review and release live updates: Read HT's review of Pawan Kalyan film,N/A,h2,2025-09-25 16:35:25
19,OG review and release live updates: Film collects  ₹14 crore by noon,N/A,h2,2025-09-25 16:35:25
20,OG review and release live updates: Producers call PK ‘box office destructor’,N/A,h2,2025-09-25 16:35:25
21,OG review and release live updates: Film likely to be biggest opener of 2025,N/A,h2,2025-09-25 16:35:25
22,OG review and release live updates: Nikhil Siddhartha praises film,N/A,h2,2025-09-25 16:35:25
23,OG review and release live updates: Film crosses  ₹12 crore in morning shows,N/A,h2,2025-09-25 16:35:25
24,OG review and release live updates: Film includes Emraan Hashmi's iconic song,N/A,h2,2025-09-25 16:35:25
25,OG review and release live updates: Emraan Hashmi gets praise,N/A,h2,2025-09-25 16:35:25
26,OG review and release live updates: Will ticket hike suspension hurt film?,N/A,h2,2025-09-25 16:35:25
27,OG review and release live updates: Mirai pulled out of theatres ‘out of respect’,N/A,h2,2025-09-25 16:35:25
28,OG review and release live updates: 25k tickets sold in an hour,N/A,h2,2025-09-25 16:35:25
29,OG review and release live updates: Pawan Kalyan fans in tears in theatre,N/A,h2,2025-09-25 16:35:25
30,OG review and release live updates: First glimpse of Ram Charan's Peddi attached to film,N/A,h2,2025-09-25 16:35:25
31,OG review and release live updates: Naga Vamsi says film is ‘absolute firestorm’,N/A,h2,2025-09-25 16:35:25
32,OG review and release live updates: Can Pawan Kalyan film earn  ₹150 crore in a day?,N/A,h2,2025-09-25 16:35:25
33,OG review and release live updates: Sujeeth pens a message for fans,N/A,h2,2025-09-25 16:35:25
34,OG review and release live updates: Nani calls the film ‘original giant blockbuster’,N/A,h2,2025-09-25 16:35:25
35,OG review and release live updates: Advance booking alone nears  ₹100 crore,N/A,h2,2025-09-25 16:35:25
36,OG review and release live updates: Pawan Kalyan film breaks records in paid previews,N/A,h2,2025-09-25 16:35:25
